product_name,sku,category,current_price,cost_price,description
Wireless Mouse,WM-001,Electronics,29.99,12.50,Ergonomic wireless mouse with 6 buttons
Bluetooth Keyboard,KB-002,Electronics,59.99,25.00,Mechanical keyboard with RGB lighting
USB-C Cable 2m,CB-003,Accessories,14.99,4.50,Fast charging USB-C cable
Laptop Stand,LS-004,Accessories,39.99,15.00,Adjustable aluminum laptop stand
Webcam HD,WC-005,Electronics,79.99,35.00,1080p HD webcam with microphone
Phone Case,PC-006,Accessories,19.99,6.00,Protective silicone phone case
Screen Protector,SP-007,Accessories,12.99,3.50,Tempered glass screen protector
Wireless Earbuds,WE-008,Electronics,89.99,40.00,Active noise cancelling earbuds
Power Bank 20000mAh,PB-009,Electronics,49.99,22.00,Fast charging portable power bank
Gaming Mouse Pad,MP-010,Accessories,24.99,8.00,RGB gaming mouse pad

