product_sku,period_start,period_end,units_sold,revenue,cost
WM-001,2024-01-01,2024-01-07,150,4498.50,1875.00
WM-001,2024-01-08,2024-01-14,165,4948.35,2062.50
WM-001,2024-01-15,2024-01-21,142,4258.58,1775.00
WM-001,2024-01-22,2024-01-28,178,5338.22,2225.00
WM-001,2024-01-29,2024-02-04,158,4738.42,1975.00
WM-001,2024-02-05,2024-02-11,171,5128.29,2137.50
WM-001,2024-02-12,2024-02-18,145,4348.55,1812.50
WM-001,2024-02-19,2024-02-25,188,5638.12,2350.00
WM-001,2024-02-26,2024-03-03,162,4858.38,2025.00
WM-001,2024-03-04,2024-03-10,195,5848.05,2437.50
KB-002,2024-01-01,2024-01-07,85,5099.15,2125.00
KB-002,2024-01-08,2024-01-14,92,5519.08,2300.00
KB-002,2024-01-15,2024-01-21,78,4679.22,1950.00
KB-002,2024-01-22,2024-01-28,105,6298.95,2625.00
KB-002,2024-01-29,2024-02-04,88,5279.12,2200.00
KB-002,2024-02-05,2024-02-11,98,5879.02,2450.00
KB-002,2024-02-12,2024-02-18,82,4919.18,2050.00
KB-002,2024-02-19,2024-02-25,112,6718.88,2800.00
KB-002,2024-02-26,2024-03-03,95,5699.05,2375.00
KB-002,2024-03-04,2024-03-10,108,6478.92,2700.00
CB-003,2024-01-01,2024-01-07,220,3297.80,990.00
CB-003,2024-01-08,2024-01-14,245,3672.55,1102.50
CB-003,2024-01-15,2024-01-21,198,2968.02,891.00
CB-003,2024-01-22,2024-01-28,265,3972.35,1192.50
CB-003,2024-01-29,2024-02-04,210,3147.90,945.00
CB-003,2024-02-05,2024-02-11,238,3567.62,1071.00
CB-003,2024-02-12,2024-02-18,205,3072.95,922.50
CB-003,2024-02-19,2024-02-25,278,4167.22,1251.00
CB-003,2024-02-26,2024-03-03,225,3372.75,1012.50
CB-003,2024-03-04,2024-03-10,290,4347.10,1305.00
LS-004,2024-01-01,2024-01-07,65,2599.35,975.00
LS-004,2024-01-08,2024-01-14,72,2879.28,1080.00
LS-004,2024-01-15,2024-01-21,58,2319.42,870.00
LS-004,2024-01-22,2024-01-28,82,3279.18,1230.00
LS-004,2024-01-29,2024-02-04,68,2719.32,1020.00
LS-004,2024-02-05,2024-02-11,75,2999.25,1125.00
LS-004,2024-02-12,2024-02-18,62,2479.38,930.00
LS-004,2024-02-19,2024-02-25,88,3519.12,1320.00
LS-004,2024-02-26,2024-03-03,71,2839.29,1065.00
LS-004,2024-03-04,2024-03-10,95,3799.05,1425.00
WC-005,2024-01-01,2024-01-07,42,3359.58,1470.00
WC-005,2024-01-08,2024-01-14,48,3839.52,1680.00
WC-005,2024-01-15,2024-01-21,38,3039.62,1330.00
WC-005,2024-01-22,2024-01-28,55,4399.45,1925.00
WC-005,2024-01-29,2024-02-04,45,3599.55,1575.00
WC-005,2024-02-05,2024-02-11,52,4159.48,1820.00
WC-005,2024-02-12,2024-02-18,40,3199.60,1400.00
WC-005,2024-02-19,2024-02-25,58,4639.42,2030.00
WC-005,2024-02-26,2024-03-03,47,3759.53,1645.00
WC-005,2024-03-04,2024-03-10,62,4959.38,2170.00
PC-006,2024-01-01,2024-01-07,185,3698.15,1110.00
PC-006,2024-01-08,2024-01-14,202,4039.98,1212.00
PC-006,2024-01-15,2024-01-21,168,3358.32,1008.00
PC-006,2024-01-22,2024-01-28,225,4497.75,1350.00
PC-006,2024-01-29,2024-02-04,192,3838.08,1152.00
PC-006,2024-02-05,2024-02-11,215,4297.85,1290.00
PC-006,2024-02-12,2024-02-18,178,3558.22,1068.00
PC-006,2024-02-19,2024-02-25,238,4757.62,1428.00
PC-006,2024-02-26,2024-03-03,198,3958.02,1188.00
PC-006,2024-03-04,2024-03-10,248,4957.52,1488.00
SP-007,2024-01-01,2024-01-07,320,4156.80,1120.00
SP-007,2024-01-08,2024-01-14,345,4481.55,1207.50
SP-007,2024-01-15,2024-01-21,298,3871.02,1043.00
SP-007,2024-01-22,2024-01-28,375,4871.25,1312.50
SP-007,2024-01-29,2024-02-04,312,4052.88,1092.00
SP-007,2024-02-05,2024-02-11,358,4650.42,1253.00
SP-007,2024-02-12,2024-02-18,305,3961.95,1067.50
SP-007,2024-02-19,2024-02-25,392,5092.08,1372.00
SP-007,2024-02-26,2024-03-03,328,4260.72,1148.00
SP-007,2024-03-04,2024-03-10,408,5300.92,1428.00
WE-008,2024-01-01,2024-01-07,52,4679.48,2080.00
WE-008,2024-01-08,2024-01-14,58,5219.42,2320.00
WE-008,2024-01-15,2024-01-21,45,4049.55,1800.00
WE-008,2024-01-22,2024-01-28,68,6119.32,2720.00
WE-008,2024-01-29,2024-02-04,55,4949.45,2200.00
WE-008,2024-02-05,2024-02-11,62,5579.38,2480.00
WE-008,2024-02-12,2024-02-18,48,4319.52,1920.00
WE-008,2024-02-19,2024-02-25,72,6479.28,2880.00
WE-008,2024-02-26,2024-03-03,58,5219.42,2320.00
WE-008,2024-03-04,2024-03-10,78,7019.22,3120.00
PB-009,2024-01-01,2024-01-07,95,4749.05,2090.00
PB-009,2024-01-08,2024-01-14,105,5248.95,2310.00
